order_id,house_number,road,suburb,state_district,state,postcode,city
6a0f322ade1a05e5c4cec4344efbce8b,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
934ecbe5845426fd3f8ef7938cce2a11,,проспект Мира,Алексеевский,Северо-Восточный административный округ,Москва,127427,Алексеевский район
5348cb339b63eaea3b2cb57a064ce550,2,Бережковская набережная,,Западный административный округ,Москва,121059,район Дорогомилово
309ef91c3b51e27d097642169576f67b,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
3506e04e45d39c6e3033637389da1041,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
b595bef96e4474cf10a7f7edfff65c40,7,Смоленская улица,район Арбат,Центральный административный округ,Москва,123317,
46dc262557a8ceb32192c185f101b663,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
653cf22cc3ec75e86bd5732b35e3c211,7,улица Пилота Нестерова,Аэропорт,Северный административный округ,Москва,125167,район Аэропорт
50e9b507e5da727434b01e969c02ab48,16,Лесная улица,,,Московская область,143442,
c916745529bbcfbf0e42dcac65fa31dc,18,46К-0040,,,Московская область,143442,
abad20230c51e45d8c87a062570ce712,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
c47cc923adfdafdf33ea187da9382277,23,улица Большая Дмитровка,Тверской район,Центральный административный округ,Москва,115054,
99afeb1b4d8a221e8934bff833fde953,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
c17e7fbf8278f1afe2ffd9d51b95722d,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
b588d430a9f026e1bbb24e033bf80eda,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
f9669ba7ab8840bbab3eb76240bdc279,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
d355a64773ec843038aa2313ffb2eff8,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
97a6c5539624273385607fea47d855af,1,площадь Джавахарлала Неру,район Раменки,Западный административный округ,Москва,119311,
30bb97b8ac7ec8c4fa7ac7339cfea072,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
f390eb8a77e04894a0d846f97bc332a0,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
4d3ee037d7caafdfcc7ab1fdff209552,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
39bdc8b9914e0aacb00d5e33c670b852,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
a98dce990267b1a1751cc0dd69623687,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
6bcf27dce6626fd4dd2312d0c11fe58e,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
41ebd17b51907997da564fca2b51b6fb,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
7cf268d42db5719d28a4cb2a9e85ebe3,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1eb52d07b9550492c270b60fe8972f75,5 к2,улица Маяковского,Железнодорожный,,Московская область,143989,Балашиха
1999d76e317b2437929c7262d84f8a7a,18 к7,проспект Андропова,,Южный административный округ,Москва,115114,Даниловский район
98e0aaf38610dee92aabd9f5435887ed,5 к2,улица Маяковского,Железнодорожный,,Московская область,143989,Балашиха
13796a188cfe20cce179cdd5ad604f77,18 к7,проспект Андропова,,Южный административный округ,Москва,115114,Даниловский район
d5034cdfe0f02ae1fdf6ef7d3b46841a,5 к2,улица Маяковского,Железнодорожный,,Московская область,143989,Балашиха
5ee3821205e8dd3a9d95d2db8a228693,13 к1,улица Намёткина,район Черёмушки,Юго-Западный административный округ,Москва,117420,район Черёмушки
2c08a9d1e17bc1f66c4b265fd74f99a7,11 к1,улица Введенского,Коньково,Юго-Западный административный округ,Москва,117342,район Коньково
